Repair Level,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence,property_magnitude,age_cat,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
0.0,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032,0.6573300062383032
0.1,0.6712206279891869,0.6295487627365357,0.6668538157621127,0.6599085048866709,0.664275317113745,0.6551466001247661,0.6620919110002079,0.6551466001247661,0.6668538157621127,0.6573300062383032,0.664275317113745,0.6456227906009565,0.6599085048866709,0.6646704096485756,0.6690372218756497,0.6616968184653774,0.6460178831357871,0.6525681014763984,0.6482012892493242,0.6591183198170099
0.2,0.6434393844874193,0.6408608858390518,0.6456227906009565,0.6317321688500728,0.6620919110002079,0.6664587232272822,0.6547515075899355,0.6664587232272822,0.6620919110002079,0.6573300062383032,0.6595134123518402,0.664275317113745,0.6595134123518402,0.6577250987731337,0.6499896028280308,0.6595134123518402,0.6694323144104803,0.6291536702017051,0.6573300062383032,0.6569349137034727
0.30000000000000004,0.6353087960074859,0.5966105219380329,0.6382823871906842,0.625577043044292,0.6313370763152422,0.6243917654398004,0.6638802245789146,0.6668538157621127,0.6620919110002079,0.6690372218756497,0.6525681014763984,0.6299438552713662,0.6690372218756497,0.6595134123518402,0.6668538157621127,0.6236015803701394,0.6529631940112289,0.6382823871906842,0.6525681014763984,0.6517779164067374
0.4,0.626180079018507,0.6378872946558536,0.6416510709087129,0.6317321688500728,0.6170513620295279,0.6243917654398004,0.6386774797255146,0.6603035974215014,0.6295487627365357,0.6424412559783739,0.6499896028280308,0.6603035974215014,0.6616968184653774,0.6503846953628614,0.6291536702017051,0.6019754626741527,0.6529631940112289,0.6547515075899355,0.664275317113745,0.6327302973591183
0.5,0.5785610313994594,0.6313370763152422,0.6581201913079642,0.619234768143065,0.6309419837804118,0.6430442919525889,0.6426491994177583,0.6482012892493242,0.6434393844874193,0.6620919110002079,0.6616968184653774,0.634705760033271,0.6533582865460594,0.6551466001247661,0.644437512996465,0.6059471823663964,0.6503846953628614,0.6287585776668746,0.6785610313994593,0.6253898939488459
0.6,0.608525681014764,0.5485963817841547,0.6741942191723851,0.6031607402786442,0.609503015179871,0.636098981077147,0.6378872946558536,0.6511748804325224,0.6378872946558536,0.6884799334580993,0.6434393844874193,0.6247868579746308,0.645227698066126,0.6620919110002079,0.6503846953628614,0.6148679559159909,0.6390725722603452,0.6412559783738823,0.6529631940112289,0.617654398003743
0.7,0.563485132044084,0.5456227906009565,0.6364940736119775,0.5849033063006862,0.6237887294655853,0.6507797878976919,0.626180079018507,0.6745893117072156,0.6426491994177583,0.6515699729673529,0.6521730089415678,0.6438344770222499,0.6559367851944271,0.6430442919525889,0.6708255354543564,0.5815346225826574,0.6390725722603452,0.6331253898939488,0.645227698066126,0.6154709918902059
0.7999999999999999,0.5579330422125182,0.5781659388646287,0.6460178831357871,0.6130796423372843,0.5523601580370139,0.6287585776668746,0.6470160116448327,0.65375337908089,0.6343106674984405,0.65375337908089,0.6712206279891869,0.6482012892493242,0.6569349137034727,0.6482012892493242,0.6616968184653774,0.5751923476814307,0.6287585776668746,0.6331253898939488,0.6404657933042213,0.6033686837180287
0.8999999999999999,0.5220212102308173,0.5626949469744229,0.6220004158868788,0.5878768974838844,0.5412559783738823,0.617841547099189,0.6378872946558536,0.6358910376377624,0.6565398211686422,0.6585152838427948,0.6678519442711583,0.6130796423372843,0.6122894572676232,0.6624870035350384,0.645227698066126,0.527573300062383,0.6285506342274901,0.6301517987107507,0.6511748804325224,0.5751923476814307
0.9999999999999999,0.5146808068205448,0.5414639218132667,0.6333125389893949,0.5896652110625911,0.5396548138906218,0.6200249532127261,0.6265751715533374,0.6497816593886463,0.636098981077147,0.6753794967768767,0.6239966729049699,0.6325223539197338,0.6460178831357871,0.6317321688500728,0.6638802245789146,0.5293616136410896,0.6402578498648368,0.6353087960074859,0.6412559783738823,0.5501975462674152
