Repair Level,gender,iq,sat
0.0,1.0,1.0,1.0
0.1,1.0,1.0,0.8656716417910447
0.2,0.9850746268656716,0.9850746268656716,0.8507462686567164
0.30000000000000004,0.9850746268656716,0.9701492537313433,0.835820895522388
0.4,0.9850746268656716,0.9701492537313433,0.8805970149253731
0.5,0.9850746268656716,0.9402985074626866,0.7611940298507462
0.6,0.9850746268656716,0.9253731343283582,0.8805970149253731
0.7,0.9701492537313433,0.8805970149253731,0.746268656716418
0.7999999999999999,0.9701492537313433,0.7910447761194029,0.6865671641791045
0.8999999999999999,0.9701492537313433,0.5373134328358209,0.6716417910447762
0.9999999999999999,0.9552238805970149,0.373134328358209,0.6268656716417911
