Repair Level,gender,iq,sat
0.0,1.0,1.0,1.0
0.1,1.0,1.0,0.8604761904761905
0.2,0.98,0.9880952380952381,0.8404761904761905
0.30000000000000004,0.98,0.9761904761904762,0.8123809523809524
0.4,0.98,0.9761904761904762,0.8642857142857143
0.5,0.98,0.9523809523809523,0.7204761904761905
0.6,0.98,0.9404761904761905,0.84
0.7,0.96,0.9047619047619048,0.6761904761904762
0.7999999999999999,0.96,0.8333333333333334,0.5961904761904762
0.8999999999999999,0.96,0.6309523809523809,0.56
0.9999999999999999,0.94,0.5,0.5
